TransactionID,Item1,Item2,Item3
T776,Tomato,Potato,Cucumber
T777,Apple,Grapes,Watermelon
T778,Carrot,Broccoli,Spinach
T779,Banana,Pineapple,Mango
T780,Orange,Lemon,Strawberry
T781,Tomato,Potato,Cucumber
T782,Apple,Grapes,Watermelon
T783,Carrot,Broccoli,Spinach
T784,Banana,Pineapple,Mango
T785,Orange,Lemon,Strawberry
T786,Tomato,Potato,Cucumber
T787,Apple,Grapes,Watermelon
T788,Carrot,Broccoli,Spinach
T789,Banana,Pineapple,Mango
T790,Orange,Lemon,Strawberry
T791,Tomato,Potato,Cucumber
T792,Apple,Grapes,Watermelon
T793,Carrot,Broccoli,Spinach
T794,Banana,Pineapple,Mango
T795,Orange,Lemon,Strawberry
T796,Tomato,Potato,Cucumber
T797,Apple,Grapes,Watermelon
T798,Carrot,Broccoli,Spinach
T799,Banana,Pineapple,Mango
T800,Orange,Lemon,Strawberry
T801,Tomato,Potato,Cucumber
T802,Apple,Grapes,Watermelon
T803,Carrot,Broccoli,Spinach
T804,Banana,Pineapple,Mango
T805,Orange,Lemon,Strawberry
T806,Tomato,Potato,Cucumber
T807,Apple,Grapes,Watermelon
T808,Carrot,Broccoli,Spinach
T809,Banana,Pineapple,Mango
T810,Orange,Lemon,Strawberry
T811,Tomato,Potato,Cucumber
T812,Apple,Grapes,Watermelon
T813,Carrot,Broccoli,Spinach
T814,Banana,Pineapple,Mango
T815,Orange,Lemon,Strawberry
T816,Tomato,Potato,Cucumber
T817,Apple,Grapes,Watermelon
T818,Carrot,Broccoli,Spinach
T819,Banana,Pineapple,Mango
T820,Orange,Lemon,Strawberry
T821,Tomato,Potato,Cucumber
T822,Apple,Grapes,Watermelon
T823,Carrot,Broccoli,Spinach
T824,Banana,Pineapple,Mango
T825,Orange,Lemon,Strawberry
T826,Tomato,Potato,Cucumber
T827,Apple,Grapes,Watermelon
T828,Carrot,Broccoli,Spinach
T829,Banana,Pineapple,Mango
T830,Orange,Lemon,Strawberry
T831,Tomato,Potato,Cucumber
T832,Apple,Grapes,Watermelon
T833,Carrot,Broccoli,Spinach
T834,Banana,Pineapple,Mango
T835,Orange,Lemon,Strawberry
T836,Tomato,Potato,Cucumber
T837,Apple,Grapes,Watermelon
T838,Carrot,Broccoli,Spinach
T839,Banana,Pineapple,Mango
T840,Orange,Lemon,Strawberry
T841,Tomato,Potato,Cucumber
T842,Apple,Grapes,Watermelon
T843,Carrot,Broccoli,Spinach
T844,Banana,Pineapple,Mango
T845,Orange,Lemon,Strawberry
T846,Tomato,Potato,Cucumber
T847,Apple,Grapes,Watermelon
T848,Carrot,Broccoli,Spinach
T849,Banana,Pineapple,Mango
T850,Orange,Lemon,Strawberry
T851,Tomato,Potato,Cucumber
T852,Apple,Grapes,Watermelon
T853,Carrot,Broccoli,Spinach
T854,Banana,Pineapple,Mango
T855,Orange,Lemon,Strawberry
T856,Tomato,Potato,Cucumber
T857,Apple,Grapes,Watermelon
T858,Carrot,Broccoli,Spinach
T859,Banana,Pineapple,Mango
T860,Orange,Lemon,Strawberry
T861,Tomato,Potato,Cucumber
T862,Apple,Grapes,Watermelon
T863,Carrot,Broccoli,Spinach
T864,Banana,Pineapple,Mango
T865,Orange,Lemon,Strawberry
T866,Tomato,Potato,Cucumber
T867,Apple,Grapes,Watermelon
T868,Carrot,Broccoli,Spinach
T869,Banana,Pineapple,Mango
T870,Orange,Lemon,Strawberry
T871,Tomato,Potato,Cucumber
T872,Apple,Grapes,Watermelon
T873,Carrot,Broccoli,Spinach
T874,Banana,Pineapple,Mango
T875,Orange,Lemon,Strawberry
T876,Tomato,Potato,Cucumber
T877,Apple,Grapes,Watermelon
T878,Carrot,Broccoli,Spinach
T879,Banana,Pineapple,Mango
T880,Orange,Lemon,Strawberry
T881,Tomato,Potato,Cucumber
T882,Apple,Grapes,Watermelon
T883,Carrot,Broccoli,Spinach
T884,Banana,Pineapple,Mango
T885,Orange,Lemon,Strawberry
T886,Tomato,Potato,Cucumber
T887,Apple,Grapes,Watermelon
T888,Carrot,Broccoli,Spinach
T889,Banana,Pineapple,Mango
T890,Orange,Lemon,Strawberry
T891,Tomato,Potato,Cucumber
T892,Apple,Grapes,Watermelon
T893,Carrot,Broccoli,Spinach
T894,Banana,Pineapple,Mango
T895,Orange,Lemon,Strawberry
T896,Tomato,Potato,Cucumber
T897,Apple,Grapes,Watermelon
T898,Carrot,Broccoli,Spinach
T899,Banana,Pineapple,Mango
T900,Orange,Lemon,Strawberry
T901,Tomato,Potato,Cucumber
T902,Apple,Grapes,Watermelon
T903,Carrot,Broccoli,Spinach
T904,Banana,Pineapple,Mango
T905,Orange,Lemon,Strawberry
T906,Tomato,Potato,Cucumber
T907,Apple,Grapes,Watermelon
T908,Carrot,Broccoli,Spinach
T909,Banana,Pineapple,Mango
T910,Orange,Lemon,Strawberry
T911,Tomato,Potato,Cucumber
T912,Apple,Grapes,Watermelon
T913,Carrot,Broccoli,Spinach
T914,Banana,Pineapple,Mango
T915,Orange,Lemon,Strawberry
T916,Tomato,Potato,Cucumber
T917,Apple,Grapes,Watermelon
T918,Carrot,Broccoli,Spinach
T919,Banana,Pineapple,Mango
T920,Orange,Lemon,Strawberry
T921,Tomato,Potato,Cucumber
T922,Apple,Grapes,Watermelon
T923,Carrot,Broccoli,Spinach
T924,Banana,Pineapple,Mango
T925,Orange,Lemon,Strawberry
T926,Tomato,Potato,Cucumber
T927,Apple,Grapes,Watermelon
T928,Carrot,Broccoli,Spinach
T929,Banana,Pineapple,Mango
T930,Orange,Lemon,Strawberry
T931,Tomato,Potato,Cucumber
T932,Apple,Grapes,Watermelon
T933,Carrot,Broccoli,Spinach
T934,Banana,Pineapple,Mango
T935,Orange,Lemon,Strawberry
T936,Tomato,Potato,Cucumber
T937,Apple,Grapes,Watermelon
T938,Carrot,Broccoli,Spinach
T939,Banana,Pineapple,Mango
T940,Orange,Lemon,Strawberry
T941,Tomato,Potato,Cucumber
T942,Apple,Grapes,Watermelon
T943,Carrot,Broccoli,Spinach
T944,Banana,Pineapple,Mango
T945,Orange,Lemon,Strawberry
T946,Tomato,Potato,Cucumber
T947,Apple,Grapes,Watermelon
T948,Carrot,Broccoli,Spinach
T949,Banana,Pineapple,Mango
T950,Orange,Lemon,Strawberry
T951,Tomato,Potato,Cucumber
T952,Apple,Grapes,Watermelon
T953,Carrot,Broccoli,Spinach
T954,Banana,Pineapple,Mango
T955,Orange,Lemon,Strawberry
T956,Tomato,Potato,Cucumber
T957,Apple,Grapes,Watermelon
T958,Carrot,Broccoli,Spinach
T959,Banana,Pineapple,Mango
T960,Orange,Lemon,Strawberry
T961,Tomato,Potato,Cucumber
T962,Apple,Grapes,Watermelon
T963,Carrot,Broccoli,Spinach
T964,Banana,Pineapple,Mango
T965,Orange,Lemon,Strawberry
T966,Tomato,Potato,Cucumber
T967,Apple,Grapes,Watermelon
T968,Carrot,Broccoli,Spinach
T969,Banana,Pineapple,Mango
T970,Orange,Lemon,Strawberry
T971,Tomato,Potato,Cucumber
T972,Apple,Grapes,Watermelon
T973,Carrot,Broccoli,Spinach
T974,Banana,Pineapple,Mango
T975,Orange,Lemon,Strawberry
T976,Tomato,Potato,Cucumber
T977,Apple,Grapes,Watermelon
T978,Carrot,Broccoli,Spinach
T979,Banana,Pineapple,Mango
T980,Orange,Lemon,Strawberry
T981,Tomato,Potato,Cucumber
T982,Apple,Grapes,Watermelon
T983,Carrot,Broccoli,Spinach
T984,Banana,Pineapple,Mango
T985,Orange,Lemon,Strawberry
T986,Tomato,Potato,Cucumber
T987,Apple,Grapes,Watermelon
T988,Carrot,Broccoli,Spinach
T989,Banana,Pineapple,Mango
T990,Orange,Lemon,Strawberry
T991,Tomato,Potato,Cucumber
T992,Apple,Grapes,Watermelon
T993,Carrot,Broccoli,Spinach
T994,Banana,Pineapple,Mango
T995,Orange,Lemon,Strawberry
T996,Tomato,Potato,Cucumber
T997,Apple,Grapes,Watermelon
T998,Carrot,Broccoli,Spinach
T999,Banana,Pineapple,Mango
T1000,Orange,Lemon,Strawberry
